# Downloaded from https://figshare.com/articles/dataset/OKCupid_Datasets/14987388
d_age,d_gender,q36355,q45632,q49093,q45835,q12584
23,Woman,Yes.,No.,Utterly wrong.,Cloudy,No
37,Woman,No.,No.,Utterly wrong.,Sun,Yes
31,Man,No.,No.,Utterly wrong.,Sun,Yes
25,Woman,No.,No.,OK sometimes.,Sun,Yes
55,Man,No.,No.,Utterly wrong.,Sun,No
28,Woman,Yes.,No.,Not a subject I have an opinion on.,Sun,Yes
32,Man,No.,No.,Perfectly fine.,Snow,Yes
34,Man,Yes.,Yes.,Utterly wrong.,Sun,Yes
35,Woman,No.,No.,Utterly wrong.,Sun,No
20,Woman,No.,No.,Utterly wrong.,Snow,Yes
29,Woman,Yes.,No.,Utterly wrong.,Cloudy,No
46,Man,No.,No.,Not a subject I have an opinion on.,Sun,No
37,Man,No.,No.,Utterly wrong.,Sun,Yes
26,Woman,No.,No.,Not a subject I have an opinion on.,Rain,Yes
28,Woman,No.,No.,Not a subject I have an opinion on.,Cloudy,Yes
55,Woman,No.,No.,Not a subject I have an opinion on.,Sun,Yes
32,Man,Yes.,No.,Utterly wrong.,Sun,Yes
30,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
24,Woman,No.,No.,Utterly wrong.,Sun,Yes
36,Man,No.,No.,Utterly wrong.,Sun,Yes
39,Man,No.,No.,Utterly wrong.,Cloudy,Yes
31,Man,No.,No.,Utterly wrong.,Cloudy,No
32,Man,No.,Yes.,Utterly wrong.,Cloudy,Yes
32,Man,Yes.,No.,Not a subject I have an opinion on.,Sun,Yes
32,Man,No.,No.,Utterly wrong.,Sun,Yes
33,Woman,Yes.,No.,Utterly wrong.,Sun,Yes
54,Man,No.,No.,Utterly wrong.,Sun,Yes
21,Other,Yes.,No.,Perfectly fine.,Rain,No
35,Man,Yes.,No.,Utterly wrong.,Sun,Yes
28,Woman,No.,No.,Utterly wrong.,Sun,Yes
36,Woman,No.,No.,Utterly wrong.,Sun,Yes
30,Woman,Yes.,No.,Utterly wrong.,Rain,Yes
26,Man,Yes.,No.,Not a subject I have an opinion on.,Cloudy,No
45,Man,No.,No.,Perfectly fine.,Sun,Yes
36,Woman,No.,No.,Not a subject I have an opinion on.,Rain,Yes
26,Man,No.,No.,Utterly wrong.,Sun,Yes
40,Man,No.,No.,Utterly wrong.,Sun,Yes
30,Woman,No.,No.,Utterly wrong.,Rain,Yes
31,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
31,Woman,No.,No.,Utterly wrong.,Sun,Yes
39,Man,No.,No.,Utterly wrong.,Sun,Yes
38,Man,Yes.,No.,OK sometimes.,Sun,Yes
43,Man,No.,No.,Utterly wrong.,Sun,Yes
29,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
26,Man,Yes.,No.,Utterly wrong.,Sun,Yes
40,Man,No.,No.,OK sometimes.,Sun,No
38,Woman,Yes.,Yes.,Utterly wrong.,Sun,Yes
56,Man,No.,No.,Utterly wrong.,Sun,Yes
31,Man,No.,No.,Perfectly fine.,Sun,Yes
28,Man,Yes.,No.,OK sometimes.,Cloudy,Yes
32,Woman,Yes.,Yes.,Not a subject I have an opinion on.,Sun,Yes
37,Man,No.,No.,OK sometimes.,Sun,No
29,Man,No.,No.,Not a subject I have an opinion on.,Cloudy,Yes
28,Woman,No.,No.,Utterly wrong.,Sun,No
29,Woman,Yes.,No.,OK sometimes.,Snow,Yes
23,Man,Yes.,No.,Utterly wrong.,Sun,Yes
45,Man,No.,No.,Utterly wrong.,Sun,Yes
37,Man,Yes.,Yes.,Perfectly fine.,Sun,Yes
43,Man,Yes.,No.,Perfectly fine.,Sun,Yes
41,Woman,Yes.,Yes.,Utterly wrong.,Sun,Yes
36,Woman,Yes.,No.,Utterly wrong.,Rain,No
26,Man,No.,No.,Utterly wrong.,Sun,Yes
30,Man,No.,No.,Utterly wrong.,Sun,No
34,Man,Yes.,No.,OK sometimes.,Rain,Yes
35,Man,No.,No.,Not a subject I have an opinion on.,Snow,No
28,Man,No.,No.,OK sometimes.,Sun,Yes
34,Man,No.,No.,Utterly wrong.,Sun,Yes
28,Man,No.,No.,OK sometimes.,Snow,Yes
32,Man,Yes.,Yes.,Not a subject I have an opinion on.,Rain,No
33,Man,No.,No.,Perfectly fine.,Cloudy,No
36,Man,No.,No.,Utterly wrong.,Sun,Yes
33,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
31,Man,No.,Yes.,Perfectly fine.,Snow,No
48,Man,No.,No.,OK sometimes.,Sun,No
26,Woman,Yes.,No.,Utterly wrong.,Sun,Yes
43,Man,No.,No.,Utterly wrong.,Sun,Yes
44,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
29,Woman,No.,No.,Utterly wrong.,Cloudy,Yes
34,Man,Yes.,No.,OK sometimes.,Sun,Yes
24,Man,No.,No.,Utterly wrong.,Cloudy,No
34,Woman,Yes.,No.,Utterly wrong.,Rain,No
38,Man,No.,No.,Utterly wrong.,Sun,Yes
36,Man,No.,No.,Not a subject I have an opinion on.,Rain,Yes
26,Woman,No.,Yes.,Utterly wrong.,Snow,Yes
37,Woman,Yes.,No.,Utterly wrong.,Snow,Yes
41,Woman,Yes.,No.,Utterly wrong.,Sun,Yes
44,Man,Yes.,No.,Utterly wrong.,Sun,Yes
33,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
35,Woman,No.,No.,Utterly wrong.,Rain,Yes
20,Man,No.,No.,OK sometimes.,Cloudy,Yes
30,Man,Yes.,No.,Utterly wrong.,Sun,Yes
